,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID
86,Ty-N_peak_819,chr3R,15310003,15310003,+,205.23779,,promoter-TSS (NM_169645),promoter-TSS (NM_169645),-190,NM_079637,41853,Dm.2422,NM_079637,,Tm2,CG4843|DROTROPI1|Dmel\CG4843|IP16005p|Ifm(3)3|Ifm(3)5|Ifm-TmI|TM2|Tm|Tm1|Tm127|TmI|TmII|Tn-H|dro Tm|l(3)nc99Eb|mTmI,Tropomyosin 2,protein-coding,CG4843,FBgn0004117
88,Ty-N_peak_324,chr2R,14713782,14713782,+,205.23779,,promoter-TSS (NM_166063),promoter-TSS (NM_166063),-160,NM_001299498,36632,Dm.5193,NM_166063,,mspo,CG10145|CT28539|Dmel\CG10145|Mspo|m-spo,M-spondin,protein-coding,CG10145,FBgn0020269
89,Ty-N_peak_779,chr3R,10815151,10815151,+,202.77431,,promoter-TSS (NM_001144562),promoter-TSS (NM_001144562),-104,NM_001300348,41299,Dm.4931,NM_141763,,CG14693,Dmel\CG14693,uncharacterized protein,protein-coding,CG14693,FBgn0037837
90,Ty-N_peak_18,chr2L,2110587,2110587,+,202.77431,,promoter-TSS (NM_001014459),promoter-TSS (NM_001014459),-709,NM_001272972,3346208,Dm.21771,NM_001014459,,dpr3,CG15379|CG15380|CG15381|CG33516|CRACM2|CT35425|Dmel\CG33516|Dpr-3|Dpr3,defective proboscis extension response 3,protein-coding,CG15379,FBgn0053516
94,Ty-N_peak_923,chr3R,28635603,28635603,+,199.12927,,promoter-TSS (NM_143368),promoter-TSS (NM_143368),-504,NM_143367,43387,Dm.1356,NM_143367,,CG10011,Dmel\CG10011,uncharacterized protein,protein-coding,CG10011,FBgn0039590
96,Ty-N_peak_406,chr2R,23395586,23395586,+,197.86743,,promoter-TSS (NM_166603),promoter-TSS (NM_166603),-165,NM_166603,37707,Dm.3027,NM_137947,,CG3530,BcDNA|BcDNA:GH04637|CG18093|Dmel\CG3530,CG3530,protein-coding,CG3530,FBgn0028497
98,Ty-N_peak_68,chr2L,8991104,8991104,+,196.64491,,promoter-TSS (NM_135421),promoter-TSS (NM_135421),-631,NM_001298841,34223,Dm.23859,NM_135421,,CG9555,Dmel\CG9555,CG9555,protein-coding,CG9555,FBgn0032085
100,Ty-N_peak_572,chr3L,12861598,12861598,+,190.19661,,promoter-TSS (NM_168526),promoter-TSS (NM_168526),-293,NM_168526,317856,,NM_168526,,CG32107,Dmel\CG32107,uncharacterized protein,protein-coding,CG32107,FBgn0052107
102,Ty-N_peak_895,chr3R,25624741,25624741,+,189.34958,,promoter-TSS (NM_001170260),promoter-TSS (NM_001170260),-79,NM_170231,43091,Dm.4324,NM_143150,,Npl4,CG4673|Dmel\CG4673|NPL4|dNPLOC4|dNp14|dNpl4|npl4,Nuclear protein localization 4,protein-coding,CG4673,FBgn0039348
103,Ty-N_peak_1163,chrX,12104502,12104502,+,188.646,,promoter-TSS (NM_132558),promoter-TSS (NM_132558),-662,NM_132558,32178,Dm.27554,NM_132558,,CG11356,Arl13b|Dmel\CG11356,uncharacterized protein,protein-coding,CG11356,FBgn0030375
107,Ty-N_peak_772,chr3R,9928326,9928326,+,184.5264,,promoter-TSS (NM_001038952),promoter-TSS (NM_001038952),-591,NM_001038952,41217,Dm.4030,NM_001038952,,Glut4EF,BcDNA:GH25505|BcDNA:GM06804|BcDNA:RE66512|BcDNA:RH63124|CG11676|CG12802|CG12804|CG12805|CG32469|CG33975|CG34360|CG43757|D-Glut4EF|Dmel\CG34360|Dmel_CG12802|Dmel_CG33975|stretch,Glucose transporter 4 enhancer factor,protein-coding,CG11676,FBgn0267336
108,Ty-N_peak_27,chr2L,3265785,3265785,+,184.5264,,promoter-TSS (NR_124042),promoter-TSS (NR_124042),-71,NR_124042,19835718,,NR_124042,,CR45706,Dmel\CR45706,ncRNA,ncRNA,CR45706,FBgn0267270
109,Ty-N_peak_612,chr3L,15954997,15954997,+,184.10574,,promoter-TSS (NM_001144485),promoter-TSS (NM_001144485),-99,NM_001144485,39734,Dm.3454,NM_140558,,GXIVsPLA2,CG17035|Dmel\CG17035|GXIVsPLA,GXIVsPLA2,protein-coding,CG17035,FBgn0036545
110,Ty-N_peak_258,chr2R,7382025,7382025,+,183.4061,,promoter-TSS (NM_001043064),promoter-TSS (NM_001043064),-126,NM_001273835,35652,Dm.2832,NM_078925,,Dscam1,43Bc|CG17800|CT39257|DSCAM|DScam|DmDscam|Dm_2R:13579|Dm_2R:13612|Dmel\CG17800|DsCam|Dscam|Dscam-hv|Dsm|FBgn0033159|Neu1|dScam|dscam|l(2)05518|l(2)43Bc|p270,Down syndrome cell adhesion molecule 1,protein-coding,CG17800,FBgn0033159
112,Ty-N_peak_1153,chrX,11493880,11493880,+,182.12607,,promoter-TSS (NM_206688),promoter-TSS (NM_206688),61,NM_206688,32097,Dm.17507,NM_206688,,Drak,CG11713|CG1760|CG32666|Dmel\CG32666|EP(X)1452|EP1452|drak,Death-associated protein kinase related,protein-coding,CG11713,FBgn0052666
113,Ty-N_peak_1122,chrX,8367462,8367462,+,182.12607,,promoter-TSS (NM_080340),promoter-TSS (NM_080340),-293,NM_001298086,31767,,NM_080340,,nAChRalpha3,Acr7E|CG2302|D[a3]|Da3|Dalpha3|Dalpha3 nAChR|Dmel\CG2302|alpha3|lincRNA.965|nACRalpha-7E|nAChR|nAcRalpha-7E|nAcRe|nicra3,nicotinic Acetylcholine Receptor alpha3,protein-coding,CG2302,FBgn0015519
118,Ty-N_peak_484,chr3L,4805958,4805958,+,176.15596,,promoter-TSS (NM_139674),promoter-TSS (NM_139674),-684,NM_139674,38579,Dm.4680,NM_139674,,CG7509,CT1509|Dmel\CG7509|tartan/capricious-like,CG7509,protein-coding,CG7509,FBgn0035575
122,Ty-N_peak_30,chr2L,3657611,3657611,+,169.22401,,promoter-TSS (NM_205904),promoter-TSS (NM_205904),-658,NM_058139,44817,Dm.6584,NM_058139,,for,142251_at|BcDNA:GM08338|CG10033|DG2|Dg2|Dmel\CG10033|FOR/PKG|For|PKG|Pkg2|Pkg24A|anon-WO0140519.260|anon-WO02059370.47|dg2|l(2)06860,foraging,protein-coding,CG10033,FBgn0000721
123,Ty-N_peak_736,chr3R,5778994,5778994,+,169.13406,,promoter-TSS (NM_169103),promoter-TSS (NM_169103),-321,NM_141328,40714,Dm.3599,NM_141328,,jagn,CG10978|Dmel\CG10978,jagunal,protein-coding,CG10978,FBgn0037374
124,Ty-N_peak_929,chr3R,29457358,29457358,+,167.87546,,promoter-TSS (NM_206579),promoter-TSS (NM_206579),-212,NM_170409,43469,Dm.4029,NM_057468,,Ptp99A,CG11515|CG11516|CG11517|CG2005|CT6383|DPTP99A|DPTP[[99A]]|Dmel\CG11516|PTP99A|R-PTP 99A|dptp99A|ptp99A,Protein tyrosine phosphatase 99A,protein-coding,CG11515,FBgn0004369
126,Ty-N_peak_899,chr3R,25646803,25646803,+,166.82574,,promoter-TSS (NM_001104451),promoter-TSS (NM_001104451),297,NR_048486,12798262,,NR_048486,,mir-92a,CR33571|CR42955|Dmel\CR42955|Dmel_CR33571|dme-miR-92a|dme-mir-92a|mIR-92a|miR-92|miR-92A|miR-92a|mir-92,mir-92a stem loop,ncRNA,CR33571,FBgn0262411
127,Ty-N_peak_633,chr3L,17242538,17242538,+,166.69965,,promoter-TSS (NM_168722),promoter-TSS (NM_168722),-410,NM_168720,39922,Dm.986,NM_168720,,CG6512,AFG3L2|DmCG6512|Dmel\CG6512,CG6512,protein-coding,CG6512,FBgn0036702
128,Ty-N_peak_769,chr3R,9047600,9047600,+,166.69965,,promoter-TSS (NM_206466),promoter-TSS (NM_206466),-80,NM_206466,41087,Dm.4154,NM_057746,,Rel,CG11992|Dmel\CG11992|NF-kappaB|NFkappaB|REL|RELI|Rel-p110|Rel/NF-kappaB|RelA|ird|ird4|l(3)neo36|rel|relish,Relish,protein-coding,CG11992,FBgn0014018
130,Ty-N_peak_50,chr2L,6037024,6037024,+,165.81549,,promoter-TSS (NM_078765),promoter-TSS (NM_078765),-9,NM_001298722,33845,Dm.319,NM_078765,,mtm,CG9115|Dmel\CG9115|MTM1|dMTMH1,myotubularin,protein-coding,CG9115,FBgn0025742
131,Ty-N_peak_562,chr3L,12328971,12328971,+,165.52579,,promoter-TSS (NM_168497),promoter-TSS (NM_168497),-261,NM_168497,39406,Dm.15353,NM_168497,,Lmx1a,CG10432|CG17615|CG32105|Dmel\CG32105|dLmx1a,LIM homeobox transcription factor 1 alpha,protein-coding,CG10432,FBgn0052105
138,Ty-N_peak_1129,chrX,8690102,8690102,+,160.99382,,promoter-TSS (NM_167166),promoter-TSS (NM_167166),-56,NM_167166,31805,Dm.20735,NM_167166,,Ppt1,CG12108|DmPpt1|Dmel\CG12108|PPT1|ppt1,Palmitoyl-protein thioesterase 1,protein-coding,CG12108,FBgn0030057
143,Ty-N_peak_883,chr3R,24514681,24514681,+,158.67525,,promoter-TSS (NM_143006),promoter-TSS (NM_143006),425,NM_079759,42920,Dm.4978,NM_079759,,nAChRbeta2,Acr96Ac|AcrF|CG6798|Dbeta2|Dmel\CG6798|SBD|beta2|beta[[2]]|nACR beta 96A|nACRbeta|nAChR|nAChR-beta96A|nAcRbeta|nAcRbeta-96A|nAcRs|nAcr96Ac|sbd,nicotinic Acetylcholine Receptor beta2,protein-coding,CG6798,FBgn0004118
146,Ty-N_peak_374,chr2R,20697991,20697991,+,153.8076,,promoter-TSS (NM_206186),promoter-TSS (NM_206186),-492,NM_001299716,2768858,Dm.12096,NM_206186,,dpr1,CG13439|DPR1|Dmel\CG13439|Dpr-1|Dpr1|dpr,defective proboscis extension response 1,protein-coding,CG13439,FBgn0040726
148,Ty-N_peak_155,chr2L,16326212,16326212,+,152.75252,,promoter-TSS (NM_001273567),promoter-TSS (NM_001273567),-5,NM_001273567,34969,Dm.2150,NM_057594,,cact,5848|BG:DS02740.15|CACT|CG5848|Cact|Cactus|Dmel\CG5848|Ikappa|NFkappabeta1A|cac|dip6|fs(2)ltoRN48|n(2)k17003,cactus,protein-coding,CG5848,FBgn0000250
150,Ty-N_peak_716,chr3R,4307675,4307675,+,151.77032,,promoter-TSS (NM_001144530),promoter-TSS (NM_001144530),-233,NM_001316492,40541,Dm.1053,NM_141193,,vv,BEST:GH02921|CG1102|Dmel\CG1102|SP25|proPO-AE,Melanization Protease 1,protein-coding,CG1102,FBgn0027930
151,Ty-N_peak_691,chr3L,21879528,21879528,+,151.60406,,promoter-TSS (NM_001043154),promoter-TSS (NM_001043154),-49,NM_079484,40436,Dm.2502,NM_079484,,mub,CG7437|Dmel\CG7437|MRE17|MUB|Mub|anon-WO0172774.33|anon-WO0172774.35|anon-WO0172774.36|anon-WO0172774.37|l(3)04093|l(3)j6B10|l(3)j8B3,mushroom-body expressed,protein-coding,CG7437,FBgn0262737
154,Ty-N_peak_242,chr2R,5782913,5782913,+,149.31229,,promoter-TSS (NM_165448),promoter-TSS (NM_165448),-55,NM_136341,35513,Dm.2173,NM_136341,,ZnT41F,BEST:CK02137|CG11163|CK02137|Dmel\CG11163|cg11163|dZNT41F|dZnT41F,Zinc transporter 41F,protein-coding,CG11163,FBgn0025693
157,Ty-N_peak_25,chr2L,2979406,2979406,+,149.29424,,promoter-TSS (NM_134889),promoter-TSS (NM_134889),-118,NM_001298643,33504,Dm.5110,NM_134889,,CG9643,Dmel\CG9643,CG9643,protein-coding,CG9643,FBgn0031485
158,Ty-N_peak_1068,chrX,2444260,2444260,+,148.16972,,promoter-TSS (NM_080311),promoter-TSS (NM_080311),-284,NM_080311,31228,Dm.1694,NM_080311,,tko,CG7925|Dmel\CG7925|EG:BACH59J11.1|MRP-S12|MRPS12|S12|Tko|l(1)3Ab|l(1)tko|mRpS12|mt-rps12|rps12,technical knockout,protein-coding,CG7925,FBgn0003714
160,Ty-N_peak_718,chr3R,4400521,4400521,+,144.81262,,promoter-TSS (NM_141208),promoter-TSS (NM_141208),11,NM_141208,40558,Dm.1056,NM_141208,,CG14647,Dmel\CG14647,uncharacterized protein,protein-coding,CG14647,FBgn0037244
162,Ty-N_peak_574,chr3L,13299019,13299019,+,143.62239,,promoter-TSS (NM_001169967),promoter-TSS (NM_001169967),4,NM_001169967,8674058,Dm.21438,NM_001169967,,CG42481,Dmel\CG42481,uncharacterized protein,protein-coding,CG42481,FBgn0259971
163,Ty-N_peak_138,chr2L,15061614,15061614,+,143.62239,,promoter-TSS (NM_001032103),promoter-TSS (NM_001032103),-42,NM_165103,26067080,Dm.4715,NM_165103,,vas,BG:DS00929.14|CG3506|CG43081|CG46283|DmRH25|Dmel\CG46283|Dmel_CG33678|Dmel_CG3506|Dmel_CG43081|EP(2)0812|VAS|VASA|Vas|Vasa|cgt|fs(2)ltoRJ36,vasa,protein-coding,CG3506,FBgn0283442
165,Ty-N_peak_298,chr2R,12039048,12039048,+,142.49112,,promoter-TSS (NM_078982),promoter-TSS (NM_078982),7,NM_078982,36289,,NM_078982,,RpIII128,CG8344|DmRP128|Dmel\CG8344|RP128,RNA polymerase III 128kD subunit,protein-coding,CG8344,FBgn0004463
167,Ty-N_peak_320,chr2R,14153198,14153198,+,141.36203,,promoter-TSS (NM_001274036),promoter-TSS (NM_001274036),45,NM_137084,36561,Dm.12451,NM_137084,,pea,CG8241|Dmel\CG8241|Prp22|cg8241|prp22,peanuts,protein-coding,CG8241,FBgn0086895
168,Ty-N_peak_585,chr3L,14551567,14551567,+,140.43079,,promoter-TSS (NM_168589),promoter-TSS (NM_168589),-592,NM_168589,39588,Dm.5438,NM_140451,,Gbs-70E,CG9238|Dmel\CG9238|anon-WO0118547.400,Glycogen binding subunit 70E,protein-coding,CG9238,FBgn0036428
170,Ty-N_peak_852,chr3R,19096286,19096286,+,139.32306,,promoter-TSS (NM_142524),promoter-TSS (NM_142524),-675,NM_142524,42292,,NM_142524,,CG6040,Dmel\CG6040,CG6040,protein-coding,CG6040,FBgn0038679
