Geneid,Chr,Start,End,Strand,Length,TSS,Length,genebody,TSS per kb,gb per kb,Pause index
FBgn0036680,3L,16957439,16957939,-,501,1111,17590,58,2217.56487,3.29732803,672.533898
FBgn0264273,2R,16386274,16386774,+,501,1576,44235,208,3145.70858,4.70215892,668.9924
FBgn0017590,3R,22899034,22899534,+,501,2463,61448,462,4916.16766,7.51855227,653.871582
FBgn0029830,X,5966029,5966529,+,501,2730,19421,164,5449.1018,8.44446733,645.286622
FBgn0046258,3R,27685712,27686212,+,501,2097,5829,38,4185.62874,6.5191285,642.053419
FBgn0261446,X,263749,264249,-,501,884,4665,13,1764.47106,2.78670954,633.173653
FBgn0052647,X,12784708,12785208,-,501,1903,12115,75,3798.40319,6.19067272,613.568729
FBgn0051721,2L,10544633,10545133,+,501,3038,82172,843,6063.87226,10.258969,591.080084
FBgn0266801,3R,8477367,8477867,-,501,3529,112290,1341,7043.91218,11.9422923,589.829156
FBgn0034021,2R,15482584,15483084,-,501,2304,9660,76,4598.8024,7.86749482,584.531989
FBgn0020269,2R,14713372,14713872,-,501,2080,41227,301,4151.69661,7.30104058,568.644505
FBgn0033159,2R,7381649,7382149,-,501,2411,62976,540,4812.37525,8.57469512,561.229896
FBgn0035539,3L,4384192,4384692,+,501,2103,17740,133,4197.60479,7.49718151,559.891045
FBgn0034162,2R,16869152,16869652,+,501,2319,1450,12,4628.74251,8.27586207,559.306387
FBgn0036279,3L,12391194,12391694,-,501,3500,21799,273,6986.02794,12.5235103,557.833052
FBgn0052600,X,14321976,14322476,+,501,2575,139126,1293,5139.72056,9.29373374,553.030752
FBgn0036144,3L,11197286,11197786,-,501,1850,19583,131,3692.61477,6.68947557,552.003626
FBgn0264953,2L,8162823,8163323,+,501,3560,26065,344,7105.78842,13.1977748,538.408068
FBgn0030884,X,17911212,17911712,+,501,2253,11702,100,4497.00599,8.54554777,526.239641
FBgn0027654,3R,30526787,30527287,-,501,3051,8979,104,6089.82036,11.5825816,525.77401
FBgn0004167,3L,3336610,3337110,+,501,4864,30274,569,9708.58283,18.7950056,516.551207
FBgn0032350,2L,11155471,11155971,-,501,2804,3216,36,5596.80639,11.1940299,499.981371
FBgn0005636,2R,24275484,24275984,+,501,2593,14351,151,5175.6487,10.5219148,491.892282
FBgn0085400,2R,23203723,23204223,-,501,1611,39962,264,3215.56886,6.60627596,486.744556
FBgn0010473,2L,4282898,4283398,+,501,1727,39634,283,3447.10579,7.14033406,482.765339
FBgn0040726,2R,20698233,20698733,+,501,2440,50960,519,4870.25948,10.1844584,478.205054
FBgn0003255,2L,14000998,14001498,-,501,1450,17506,106,2894.21158,6.05506683,477.981772
FBgn0083940,X,10086277,10086777,+,501,2910,61350,752,5808.38323,12.2575387,473.862116
FBgn0010105,3L,15728180,15728680,-,501,2875,5920,72,5738.52295,12.1621622,471.83411
FBgn0260660,3L,6998593,6999093,+,501,1577,53657,362,3147.70459,6.74655683,466.5646
FBgn0031741,2L,5805145,5805645,+,501,2449,2669,28,4888.22355,10.4908205,465.952452
FBgn0259734,X,9029955,9030455,+,501,1727,23371,173,3447.10579,7.40233623,465.678089
FBgn0042185,3L,6550488,6550988,+,501,1185,42203,216,2365.26946,5.11811956,462.136422
FBgn0053087,2R,8173915,8174415,+,501,3994,51274,885,7972.05589,17.2602099,461.874795
FBgn0015380,2L,19190092,19190592,+,501,2154,17280,165,4299.4012,9.54861111,450.264562
FBgn0051690,2L,2677484,2677984,+,501,1826,40698,331,3644.71058,8.13307779,448.134233
FBgn0085382,3R,27905593,27906093,-,501,2506,136878,1533,5001.99601,11.1997545,446.616575
FBgn0004198,X,7608178,7608678,+,501,3126,69432,975,6239.52096,14.0425164,444.330686
FBgn0020300,3L,18139152,18139652,+,501,2063,5017,47,4117.76447,9.3681483,439.549454
FBgn0052843,2R,13295677,13296177,-,501,1089,27130,139,2173.65269,5.12347954,424.25322
FBgn0243486,2L,18012130,18012630,+,501,3323,56867,921,6632.73453,16.1956847,409.537149
FBgn0038465,3R,17002625,17003125,+,501,2319,3334,38,4628.74251,11.3977205,406.111251
FBgn0034387,2R,18754745,18755245,+,501,2043,1089,11,4077.84431,10.1010101,403.706587
FBgn0003326,2R,12780291,12780791,+,501,373,20470,38,744.510978,1.85637518,401.056308
FBgn0033365,2R,9030795,9031295,-,501,1904,11014,105,3800.3992,9.53332123,398.643779
FBgn0030847,X,17579611,17580111,+,501,1254,18454,119,2502.99401,6.44846646,388.153374
FBgn0037956,3R,11869210,11869710,-,501,3695,45759,897,7375.2495,19.6027011,376.23639
FBgn0000560,3L,21808453,21808953,+,501,2114,7898,89,4219.56088,11.2686756,374.45047
FBgn0050009,2R,10263577,10264077,-,501,123,1513,1,245.508982,0.66093853,371.45509
FBgn0052447,3L,21706115,21706615,-,501,1260,14754,100,2514.97006,6.77782296,371.058683
FBgn0267253,X,9550588,9551088,-,501,1519,47013,393,3031.93613,8.35938996,362.698252
FBgn0038682,3R,19153436,19153936,-,501,3127,4055,70,6241.51697,17.2626387,361.562161
FBgn0029930,X,7065802,7066302,-,501,3102,43445,758,6191.61677,17.4473472,354.874394
FBgn0264442,2L,11210428,11210928,+,501,2217,49403,618,4425.1497,12.5093618,353.74704
FBgn0051176,3R,21719410,21719910,-,501,877,46358,230,1750.499,4.96138746,352.82449
FBgn0002567,2R,9186092,9186592,-,501,2055,7479,88,4101.79641,11.7662789,348.606083
FBgn0259682,2R,18760832,18761332,-,501,1447,3009,25,2888.22355,8.30840811,347.626587
FBgn0261999,2L,16231225,16231725,+,501,1056,9053,55,2107.78443,6.07533414,346.941317
FBgn0016061,3R,27437232,27437732,-,501,910,61395,323,1816.36727,5.26101474,345.250366
FBgn0023179,3R,26713909,26714409,-,501,635,15463,58,1267.46507,3.75088922,337.910558
FBgn0000633,2R,13622794,13623294,+,501,1360,125324,1016,2714.57086,8.10698669,334.843384
FBgn0010482,2R,6740422,6740922,-,501,1756,18572,195,3504.99002,10.4996769,333.818844
FBgn0040259,3R,11156848,11157348,+,501,3247,1647,32,6481.03792,19.4292653,333.570921
FBgn0037295,3R,5150658,5151158,+,501,1885,18214,209,3762.47505,11.4746898,327.8934
FBgn0028916,2L,14333908,14334408,+,501,2742,10638,178,5473.05389,16.7324685,327.091839
FBgn0020762,2L,4333663,4334163,+,501,3928,10864,263,7840.31936,24.2083947,323.867793
FBgn0036801,3L,18625709,18626209,+,501,4109,40219,1027,8201.59681,25.5351948,321.187947
FBgn0001987,2L,15762508,15763008,-,501,2765,5757,99,5518.96208,17.1964565,320.936007
FBgn0051038,3R,29876809,29877309,+,501,1773,25173,278,3538.92216,11.0435784,320.450674
FBgn0031725,2L,5617696,5618196,-,501,1159,15224,113,2313.37325,7.4224908,311.670747
FBgn0035578,3L,4839858,4840358,-,501,2117,1318,18,4225.5489,13.6570561,309.404081
FBgn0000463,3R,19325967,19326467,-,501,1075,22487,157,2145.70858,6.98181171,307.328337
FBgn0015519,X,8366919,8367419,-,501,1048,89970,619,2091.81637,6.88007113,304.039933
FBgn0011676,2L,10837261,10837761,-,501,1347,32238,286,2688.62275,8.87151808,303.062309
FBgn0010452,3L,13114021,13114521,+,501,1763,2807,33,3518.96208,11.7563235,299.325047
FBgn0023214,2R,18673286,18673786,-,501,3736,5010,127,7457.08583,25.3493014,294.173228
FBgn0031307,2L,1142951,1143451,+,501,2713,3195,60,5415.16966,18.7793427,288.357784
FBgn0261649,3R,17811291,17811791,+,501,966,59967,403,1928.14371,6.72036287,286.910655
FBgn0085412,3R,13714957,13715457,+,501,1198,48461,411,2391.21756,8.48104661,281.948405
FBgn0031542,2L,3490821,3491321,-,501,712,9317,47,1421.15768,5.04454223,281.721833
FBgn0053531,2L,6252873,6253373,+,501,1098,69344,540,2191.61677,7.7872635,281.436061
FBgn0027343,X,769695,770195,+,501,2246,13278,213,4483.03393,16.0415725,279.463496
FBgn0032719,2L,18844934,18845434,+,501,1535,8927,98,3063.87226,10.9779321,279.093751
FBgn0086655,2R,6501756,6502256,+,501,3325,118787,2854,6636.72655,24.0261982,276.228744
FBgn0030174,X,10070618,10071118,-,501,1904,14240,196,3800.3992,13.7640449,276.110636
FBgn0003053,X,4617314,4617814,+,501,1216,8643,76,2427.14571,8.79324309,276.023952
FBgn0015774,X,14749126,14749626,-,501,1985,62339,895,3962.07585,14.3569836,275.968543
FBgn0031897,2L,7219783,7220283,-,501,2038,14496,217,4067.86427,14.9696468,271.740832
FBgn0002945,3L,19045199,19045699,-,501,3768,40709,1128,7520.95808,27.7088604,271.42791
FBgn0030396,X,12496938,12497438,+,501,1513,18378,207,3019.96008,11.2634672,268.119934
FBgn0037963,3R,11948879,11949379,-,501,3032,54618,1240,6051.89621,22.7031382,266.566506
FBgn0051145,3R,23669409,23669909,-,501,2721,62909,1292,5431.13772,20.5376019,264.448485
FBgn0028540,2L,13779915,13780415,-,501,3310,4826,121,6606.78643,25.0725238,263.507036
FBgn0003388,3L,14614208,14614708,+,501,995,6748,51,1986.02794,7.5577949,262.778756
FBgn0024836,2R,10673095,10673595,+,501,1127,46794,403,2249.501,8.61221524,261.198883
FBgn0004168,2R,19066905,19067405,+,501,800,53804,329,1596.80639,6.114787,261.138513
FBgn0086908,2R,24779651,24780151,-,501,425,3368,11,848.303393,3.26603325,259.735075
FBgn0260745,3R,11993065,11993565,-,501,3711,7454,213,7407.18563,28.5752616,259.216721
FBgn0037130,3L,21770284,21770784,-,501,1469,24176,278,2932.13573,11.4990073,254.990336
FBgn0003137,3R,28540074,28540574,-,501,1354,18660,198,2702.59481,10.6109325,254.699087
FBgn0027660,3L,17421264,17421764,-,501,3778,24484,733,7540.91816,29.9379186,251.885185
FBgn0004607,4,501560,502060,+,501,1102,38065,333,2199.6008,8.74819388,251.434848
FBgn0261549,X,8906818,8907318,+,501,1113,121409,1081,2221.55689,8.90378802,249.506938
FBgn0022382,2R,10025792,10026292,-,501,1440,31153,362,2874.2515,11.6200687,247.352367
FBgn0031888,2L,7084385,7084885,-,501,2477,14100,284,4944.11178,20.141844,245.464704
FBgn0040397,X,1134646,1135146,-,501,2922,60856,1458,5832.33533,23.9581964,243.437996
FBgn0260429,2R,15613604,15614104,+,501,1606,42361,558,3205.58882,13.1724936,243.354746
FBgn0043550,3L,13843406,13843906,+,501,184,661,1,367.265469,1.5128593,242.762475
FBgn0050377,2R,7889775,7890275,+,501,937,24008,185,1870.25948,7.70576475,242.709133
FBgn0085409,2L,6178883,6179383,+,501,889,30982,230,1774.4511,7.42366535,239.026278
FBgn0036147,3L,11205766,11206266,-,501,3279,6851,189,6544.91018,27.5872135,237.244337
FBgn0040551,3R,13260106,13260606,+,501,2309,872,17,4608.78244,19.4954128,236.403428
FBgn0029831,X,5988541,5989041,+,501,914,2850,22,1824.3513,7.71929825,236.336418
FBgn0013469,3L,11008938,11009438,-,501,717,27018,164,1431.13772,6.07002739,235.771214
FBgn0031736,2L,5724406,5724906,+,501,1687,36765,527,3367.26547,14.3342853,234.909896
FBgn0004919,2R,25084097,25084597,-,501,799,10721,73,1594.81038,6.80906632,234.218659
FBgn0021764,X,686584,687084,+,501,3467,61663,1827,6920.15968,29.6287887,233.562018
FBgn0003159,X,2366106,2366606,-,501,1920,20408,343,3832.33533,16.8071345,228.018366
FBgn0001180,3R,8697572,8698072,-,501,700,5843,36,1397.20559,6.16121855,226.774229
FBgn0029082,2R,15011146,15011646,+,501,1658,29739,434,3309.38124,14.5936313,226.768868
FBgn0004852,3L,19939037,19939537,+,501,2744,37674,916,5477.04591,24.3138504,225.264441
FBgn0263077,2R,7622992,7623492,+,501,1238,27546,303,2471.05788,10.9997822,224.646074
FBgn0259923,X,16694923,16695423,-,501,2516,9958,223,5021.95609,22.394055,224.253985
FBgn0036769,3L,17895612,17896112,-,501,836,3043,23,1668.66267,7.55833059,220.771327
FBgn0034420,2R,19163893,19164393,+,501,2377,13081,282,4744.51098,21.5579849,220.081376
FBgn0035092,2R,25032127,25032627,+,501,872,7001,56,1740.51896,7.99885731,217.595951
FBgn0038237,3R,14558054,14558554,-,501,938,43404,374,1872.25549,8.61671735,217.281757
FBgn0032752,2L,19069601,19070101,-,501,784,4020,29,1564.87026,7.21393035,216.923395
FBgn0050115,2R,18611527,18612027,-,501,3929,56659,2063,7842.31537,36.4108085,215.384269
FBgn0261859,3R,15131676,15132176,-,501,4970,34970,1611,9920.15968,46.0680583,215.337048
FBgn0036821,3L,18890233,18890733,-,501,1276,11234,135,2546.90619,12.017091,211.940327
FBgn0003475,2L,20310969,20311469,+,501,1408,36168,482,2810.37924,13.3266976,210.883395
FBgn0086711,2L,14997309,14997809,-,501,3303,20813,660,6592.81437,31.7109499,207.903402
FBgn0004512,2R,12946097,12946597,-,501,1036,5025,50,2067.86427,9.95024876,207.820359
FBgn0000299,2L,5029359,5029859,+,501,2185,6671,141,4361.27745,21.1362614,206.341006
FBgn0050440,2R,5495611,5496111,-,501,3058,26543,786,6103.79242,29.6123272,206.123361
FBgn0086359,3R,10144418,10144918,+,501,2499,13467,326,4988.02395,24.2073216,206.054351
FBgn0035699,3L,6352140,6352640,-,501,1701,22067,366,3395.20958,16.5858522,204.705163
FBgn0032147,2L,9782134,9782634,+,501,4047,5116,203,8077.84431,39.6794371,203.577594
FBgn0031568,2L,3730216,3730716,+,501,3694,23152,839,7373.25349,36.2387699,203.463129
FBgn0004509,3R,25472808,25473308,-,501,3496,124628,4276,6978.04391,34.3101069,203.381585
FBgn0003495,3R,27069820,27070320,-,501,941,4081,38,1878.24351,9.31144327,201.713468
FBgn0034072,2R,16098314,16098814,-,501,2971,16389,486,5930.13972,29.6540362,199.977489
FBgn0028482,2L,4324304,4324804,+,501,909,6277,57,1814.37126,9.08077107,199.803656
FBgn0085407,2L,7157445,7157945,-,501,1045,58508,611,2085.82834,10.4430163,199.734279
FBgn0037315,3R,5368056,5368556,-,501,2203,8434,186,4397.20559,22.0535926,199.387268
FBgn0027598,3R,30808367,30808867,+,501,2450,17389,428,4890.21956,24.6132613,198.682308
FBgn0260486,2L,7496057,7496557,-,501,2551,22795,586,5091.81637,25.707392,198.068181
FBgn0051361,3R,12094626,12095126,+,501,2866,15545,451,5720.55888,29.0125442,197.175361
FBgn0053867,2L,21540877,21541377,-,501,5261,999,54,10500.998,54.0540541,194.268463
FBgn0031738,2L,5800003,5800503,-,501,1717,32252,576,3427.14571,17.8593576,191.89636
FBgn0032010,2L,8257252,8257752,-,501,1195,12343,154,2385.22954,12.4767074,191.174599
FBgn0034733,2R,22478129,22478629,+,501,1394,3676,54,2782.43513,14.6898803,189.411695
FBgn0037185,3L,22727861,22728361,+,501,1961,4336,90,3914.17166,20.7564576,188.576092
FBgn0050069,2R,14184954,14185454,+,501,2429,12165,313,4848.30339,25.729552,188.433261
FBgn0011592,2R,12528803,12529303,+,501,1437,34132,520,2868.26347,15.2349701,188.268402
FBgn0267348,3L,9614664,9615164,+,501,4031,8067,345,8045.90818,42.7668278,188.134323
FBgn0267572,3L,18865857,18866357,-,501,293,6418,20,584.830339,3.11623559,187.672056
FBgn0045761,3R,25329066,25329566,-,501,2619,5161,144,5227.54491,27.9015695,187.356662
FBgn0026179,3L,21034285,21034785,+,501,3059,39910,1309,6105.78842,32.7987973,186.158912
FBgn0259685,3R,24294828,24295328,+,501,1323,18464,262,2640.71856,14.1897747,186.100105
FBgn0262617,3R,10264056,10264556,+,501,3519,43162,1631,7023.9521,37.787869,185.878492
FBgn0029835,X,6050578,6051078,+,501,495,13819,74,988.023952,5.35494609,184.506797
FBgn0036368,3L,13450520,13451020,+,501,942,13770,142,1880.23952,10.3122731,182.330269
FBgn0038115,3R,13051203,13051703,-,501,432,1056,5,862.275449,4.73484848,182.112575
FBgn0265052,2R,23683127,23683627,+,501,1938,3604,77,3868.26347,21.3651498,181.054825
FBgn0003218,X,13762502,13763002,+,501,1817,15737,316,3626.74651,20.0800661,180.614271
FBgn0032629,2L,17260484,17260984,-,501,2891,72098,2306,5770.45908,31.9842437,180.41568
FBgn0040600,3R,24769101,24769601,+,501,2135,583,14,4261.47705,24.0137221,177.46008
FBgn0259171,X,12897077,12897577,-,501,2113,110765,2633,4217.56487,23.7710468,177.424448
FBgn0260941,3L,12266591,12267091,-,501,2878,59604,1930,5744.51098,32.3803772,177.407167
FBgn0036935,3L,20103577,20104077,-,501,728,4744,39,1453.09381,8.22091062,176.755822
FBgn0016754,3R,23922723,23923223,-,501,2790,27800,876,5568.86228,31.5107914,176.728734
FBgn0264087,2L,7674828,7675328,-,501,353,32074,128,704.590818,3.99077134,176.555046
FBgn0051140,3R,23962930,23963430,+,501,755,19053,164,1506.98603,8.60756836,175.076858
FBgn0003435,2R,19631258,19631758,-,501,1376,112645,1768,2746.50699,15.695326,174.988846
FBgn0038603,3R,18314157,18314657,-,501,1617,10129,187,3227.54491,18.4618422,174.822473
FBgn0044328,3L,9786796,9787296,+,501,479,20668,114,956.087824,5.51577318,173.337045
FBgn0033134,2R,7045519,7046019,+,501,1951,1770,40,3894.21158,22.5988701,172.318862
FBgn0037525,3R,7886483,7886983,-,501,2062,30152,721,4115.76846,23.9121783,172.120181
FBgn0263316,3R,11569000,11569500,+,501,3043,5688,201,6073.8523,35.3375527,171.880955
FBgn0032946,2L,21379750,21380250,+,501,748,12320,108,1493.01397,8.76623377,170.314186
FBgn0036690,3L,17031830,17032330,-,501,1748,1269,26,3489.02196,20.4885737,170.29111
FBgn0035308,3L,2163613,2164113,-,501,617,9663,70,1231.53693,7.24412708,170.004876
FBgn0015721,2R,21101678,21102178,+,501,639,20777,156,1275.4491,7.50830245,169.871833
FBgn0268063,3L,7518747,7519247,+,501,667,8017,63,1331.33733,7.85830111,169.417958
FBgn0035331,3L,2322443,2322943,+,501,721,22107,189,1439.12176,8.54932827,168.331559
FBgn0037972,3R,11976947,11977447,-,501,644,1042,8,1285.42914,7.67754319,167.427146
FBgn0086347,2L,10506529,10507029,-,501,3586,13966,605,7157.68463,43.3194902,165.230122
FBgn0032297,2L,10756075,10756575,-,501,3331,11251,453,6648.70259,40.2630877,165.131463
FBgn0039430,3R,26461277,26461777,+,501,1667,7482,152,3327.34531,20.3154237,163.784195
FBgn0052311,3L,2151450,2151950,-,501,3450,33235,1408,6886.22754,42.3649767,162.545293
FBgn0003984,3L,5845414,5845914,-,501,3833,31327,1497,7650.6986,47.7862547,160.102495
FBgn0029837,X,6074607,6075107,-,501,2799,4727,165,5586.82635,34.90586,160.05411
FBgn0027356,2R,12593354,12593854,+,501,1122,17465,245,2239.52096,14.0280561,159.645851
FBgn0086604,2R,20424088,20424588,+,501,2340,53614,1574,4670.65868,29.3580035,159.093199
FBgn0003710,3L,4188249,4188749,+,501,259,4290,14,516.966068,3.26340326,158.413174
FBgn0039064,3R,23248653,23249153,-,501,2134,20177,543,4259.48104,26.9118303,158.275412
FBgn0052626,X,13845616,13846116,-,501,2600,14126,464,5189.62076,32.8472321,157.992635
FBgn0053120,2L,18844329,18844829,-,501,470,2180,13,938.123752,5.96330275,157.316137
FBgn0038197,3R,14056695,14057195,+,501,2269,30034,866,4528.94212,28.8339881,157.06957
FBgn0035977,3L,9349359,9349859,+,501,2585,881,29,5159.68064,32.9171396,156.747539
FBgn0001122,2R,10437735,10438235,+,501,1655,26717,566,3303.39321,21.1850133,155.930665
FBgn0000459,X,16216500,16217000,-,501,330,5153,22,658.682635,4.26935766,154.281437
FBgn0263005,X,13112212,13112712,-,501,2123,15892,437,4237.52495,27.4981123,154.102395
FBgn0000658,2R,18232511,18233011,+,501,3026,2551,100,6039.92016,39.2003136,154.078363
FBgn0261698,2R,10416746,10417246,-,501,528,93802,643,1053.89222,6.8548645,153.743698
FBgn0028397,X,16091245,16091745,-,501,1618,15779,333,3229.54092,21.103999,153.029808
FBgn0264443,2L,20017032,20017532,-,501,1634,47599,1015,3261.47705,21.3239774,152.948814
FBgn0051183,3R,15875689,15876189,-,501,753,17069,168,1502.99401,9.84240436,152.705981
FBgn0051220,3R,19648237,19648737,+,501,278,1100,4,554.89022,3.63636364,152.59481
FBgn0033799,2R,13167782,13168282,-,501,1737,3074,70,3467.06587,22.7716331,152.253721
FBgn0004370,X,11621765,11622265,+,501,3572,54324,2549,7129.74052,46.9221707,151.948224
FBgn0052365,3L,7868792,7869292,+,501,880,24773,287,1756.48703,11.5851936,151.614819
FBgn0266632,2R,3943179,3943679,+,501,255,5329,18,508.982036,3.37774442,150.686959
FBgn0036454,3L,14804886,14805386,+,501,597,76089,602,1191.61677,7.91178751,150.612837
FBgn0262476,2R,18514324,18514824,+,501,678,10866,98,1353.29341,9.01895822,150.049859
FBgn0264598,X,2387414,2387914,-,501,628,19544,165,1253.49301,8.44248874,148.474348
FBgn0000017,3L,16647632,16648132,-,501,3005,31017,1254,5998.00399,40.4294419,148.357328
FBgn0031516,2L,3302880,3303380,-,501,2239,7205,218,4469.06188,30.2567661,147.704545
FBgn0037720,3R,9591059,9591559,+,501,1403,32765,624,2800.3992,19.0447123,147.043397
FBgn0015773,X,14653678,14654178,-,501,2240,48917,1488,4471.05788,30.4188728,146.983023
FBgn0053556,3L,7094568,7095068,+,501,1715,27480,640,3423.15369,23.2896652,146.981662
FBgn0035574,3L,4692533,4693033,+,501,519,102471,725,1035.92814,7.07517249,146.417369
FBgn0004368,X,4938878,4939378,+,501,2297,15789,497,4584.83034,31.477611,145.653695
FBgn0032775,2L,19398243,19398743,-,501,1708,7124,167,3409.18164,23.4418866,145.431197
FBgn0034720,2R,22372859,22373359,-,501,998,38610,529,1992.01597,13.7011137,145.390806
FBgn0261445,3L,6964508,6965008,-,501,3563,4205,206,7111.77645,48.9892985,145.17
FBgn0087002,4,1060719,1061219,+,501,404,15305,86,806.387226,5.61907873,143.508796
FBgn0051324,3R,26106618,26107118,+,501,2485,22807,790,4960.07984,34.6384882,143.195621
FBgn0262029,2L,8466567,8467067,+,501,778,20855,228,1552.89421,10.9326301,142.042144
FBgn0027600,2L,10032440,10032940,+,501,512,5265,38,1021.95609,7.21747388,141.594705
FBgn0261625,2R,12679343,12679843,-,501,1240,8111,142,2475.0499,17.5070891,141.374153
FBgn0265140,3R,14697042,14697542,-,501,3866,31386,1715,7716.56687,54.6421972,141.219923
FBgn0015286,X,3719385,3719885,-,501,2743,14026,548,5475.0499,39.070298,140.133303
FBgn0030723,X,16063488,16063988,+,501,1116,5567,89,2227.54491,15.9870666,139.334186
FBgn0261801,3L,6400340,6400840,+,501,2700,84375,3278,5389.22156,38.8503704,138.717379
FBgn0260943,3L,17237962,17238462,-,501,550,178439,1414,1097.80439,7.92427664,138.536858
FBgn0030617,X,15162975,15163475,-,501,584,22289,188,1165.66866,8.43465387,138.199941
FBgn0035146,3L,603758,604258,-,501,2493,3915,141,4976.0479,36.0153257,138.164734
FBgn0052066,3L,10660763,10661263,-,501,2941,19728,841,5870.25948,42.6297648,137.703304
FBgn0001085,3L,14274093,14274593,+,501,3667,93297,4971,7319.36128,53.281456,137.371645
FBgn0024179,3L,4071467,4071967,-,501,1146,6566,110,2287.42515,16.7529698,136.538487
FBgn0051352,3R,9705167,9705667,-,501,4402,10032,649,8786.42715,64.6929825,135.817315
FBgn0036612,3L,16338753,16339253,+,501,636,5239,49,1269.46108,9.35292995,135.728706
FBgn0000119,2R,13482979,13483479,-,501,2441,28590,1027,4872.25549,35.9216509,135.635623
FBgn0038053,3R,12449046,12449546,+,501,1272,6060,114,2538.92216,18.8118812,134.963757
FBgn0028675,2L,10198867,10199367,-,501,1911,15561,440,3814.37126,28.2758177,134.898707
FBgn0032713,2L,18823298,18823798,+,501,3224,2169,105,6435.12974,48.4094053,132.931394
FBgn0033132,2R,7039886,7040386,+,501,1348,1627,33,2690.61876,20.2827289,132.655658
FBgn0261341,3L,19695010,19695510,-,501,467,4228,30,932.135729,7.09555345,131.368995
FBgn0264089,2R,15921868,15922368,-,501,2720,51624,2152,5429.14172,41.6860375,130.238853
FBgn0037012,3L,20540167,20540667,-,501,2016,11446,354,4023.9521,30.9278351,130.107784
FBgn0085390,2R,7885732,7886232,-,501,1296,50171,1006,2586.82635,20.0514241,129.009607
FBgn0036287,3L,12484785,12485285,-,501,1341,9618,200,2676.64671,20.7943439,128.71994
FBgn0052758,X,5737781,5738281,-,501,2044,17658,560,4079.84032,31.7136709,128.646108
FBgn0283499,3R,21619071,21619571,-,501,3444,48074,2569,6874.2515,53.4384491,128.638679
FBgn0053126,2L,1361571,1362071,-,501,1169,985,18,2333.33333,18.2741117,127.685185
FBgn0037215,3R,4196956,4197456,+,501,3600,6367,359,7185.62874,56.3844825,127.439828
FBgn0004841,3R,10750978,10751478,-,501,353,12637,70,704.590818,5.53928939,127.198774
FBgn0010434,2R,19228813,19229313,+,501,3305,13689,710,6596.80639,51.8664621,127.188285
FBgn0032916,2L,21102493,21102993,+,501,330,579,3,658.682635,5.18134715,127.125749
FBgn0030662,X,15593284,15593784,-,501,2389,7246,273,4768.46307,37.6759591,126.565141
FBgn0001258,3L,6262444,6262944,-,501,2373,2590,97,4736.52695,37.4517375,126.470152
FBgn0000008,2R,22136718,22137218,+,501,1001,34867,552,1998.00399,15.8315886,126.203633
FBgn0004197,3R,27194017,27194517,-,501,422,21178,142,842.315369,6.7050713,125.623626
FBgn0033988,2R,14981013,14981513,+,501,2709,9074,391,5407.18563,43.0901477,125.485428
FBgn0262685,X,11459536,11460036,+,501,581,15719,146,1159.68064,9.28812265,124.856301
FBgn0051075,3R,26988267,26988767,-,501,990,1894,30,1976.0479,15.8394931,124.754491
FBgn0028743,2R,17792620,17793120,+,501,1239,6808,136,2473.05389,19.9764982,123.798168
FBgn0051092,3R,25740215,25740715,-,501,1495,40739,982,2984.03194,24.1046663,123.794783
