,Unnamed: 0,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID,Pause index,Pause index_log2
15,47,Ty-N_peak_846,chr3R,18659620,18659620,+,269.43466,,promoter-TSS (NM_169826),promoter-TSS (NM_169826),2,NM_058105,42239,Dm.4853,NM_058105,,CstF-64,CG7697|CStF 64|CstF 64|CstF64|Dmel\CG7697|dCstF64,Cleavage stimulation factor 64 kilodalton subunit,protein-coding,CG7697,FBgn0027841,2.22007836,1.1506105989124438
18,53,Ty-N_peak_89,chr2L,9967206,9967206,+,255.76582000000002,,promoter-TSS (NM_001038802),promoter-TSS (NM_001038802),23,NM_001273382,34328,Dm.7169,NM_078805,,Dref,CG5838|DREF|DmDREF|Dmel\CG5838|Dmel_DREF|dDREF|dref|p80|p80/DREF,DNA replication-related element factor,protein-coding,CG5838,FBgn0015664,14.518687900000002,3.859839173173024
20,56,Ty-N_peak_609,chr3L,15729369,15729369,+,254.58857999999998,,promoter-TSS (NM_079371),promoter-TSS (NM_079371),-939,NM_079371,39717,Dm.2546,NM_079371,,comm,CG17943|Comm|Dmel\CG17943,commissureless,protein-coding,CG17943,FBgn0010105,471.83410999999995,8.882135907947346
21,57,Ty-N_peak_71,chr2L,9125180,9125180,+,250.40907,,promoter-TSS (NM_001042884),promoter-TSS (NM_001042884),-557,NM_176001,34237,Dm.6376,NM_176001,,CG32982,CG18566|CG9584|CG9585|Dmel\CG32982|p78,uncharacterized protein,protein-coding,CG32982,FBgn0052982,784.0627049999999,9.614825227501726
22,58,Ty-N_peak_587,chr3L,14622635,14622635,+,249.94911000000002,,promoter-TSS (NM_001169971),promoter-TSS (NM_001169971),-161,NM_168590,39593,Dm.959,NM_140453,,CG9628,Dmel\CG9628,CG9628,protein-coding,CG9628,FBgn0036433,21.2090729,4.406609653435926
23,59,Ty-N_peak_821,chr3R,15374479,15374479,+,249.41911000000002,,promoter-TSS (NM_001170149),promoter-TSS (NM_001170149),-156,NM_001275673,41880,,NM_169652,,Rbp,CG14867|CG31302|CG43073|CG5143|CG5152|DRBP|Dmel\CG43073|Dmel_CG14867|Dmel_CG31302|RBP|drbp|rbp,RIM-binding protein,protein-coding,CG14867,FBgn0262483,44.250192799999994,5.4676118359812556
24,60,Ty-N_peak_947,chr3R,31196823,31196823,+,249.41911000000002,,promoter-TSS (NM_143592),promoter-TSS (NM_143592),-93,NM_143592,43689,Dm.10912,NM_143592,,CG1544,Dmel\CG1544,CG1544,protein-coding,CG1544,FBgn0039827,84.06674009999999,6.393463224932146
25,62,Ty-N_peak_871,chr3R,23249025,23249025,+,247.29617000000002,,promoter-TSS (NM_001043282),promoter-TSS (NM_001043282),-122,NM_001043282,42747,Dm.16575,NM_142876,,CG4467,CG13825|Dmel\CG4467,CG4467,protein-coding,CG4467,FBgn0039064,158.27541200000002,7.306293340759122
26,65,Ty-N_peak_69,chr2L,9083140,9083140,+,244.18739,,promoter-TSS (NM_078795),promoter-TSS (NM_078795),-967,NM_078795,34235,Dm.13019,NM_078795,,Toll-4,CG18241|CT29238|Dmel\CG18241|TL4|Tl-4|dTLR4|dToll4|toll,Toll-4,protein-coding,CG18241,FBgn0032095,2.59520958,1.3758510502662293
27,66,Ty-N_peak_669,chr3L,20004880,20004880,+,243.96825,,promoter-TSS (NM_001300197),promoter-TSS (NM_001300197),-421,NM_001300197,40191,Dm.3778,NM_140914,,kug,CG7749|CT23445|Cad76E|DCad76E|Dmel\CG7749|Ftl|RE-A|fat2|ftl|kugel,kugelei,protein-coding,CG7749,FBgn0261574,1.5243025,0.6081492361274229
31,72,Ty-N_peak_565,chr3L,12653111,12653111,+,228.97747999999999,,promoter-TSS (NR_048272),promoter-TSS (NR_048272),-21,NR_048272,12798225,,NR_048272,,CR43431,Dmel\CR43431,ncRNA,ncRNA,CR43431,FBgn0263379,3.26542495,1.7072707508419611
32,74,Ty-N_peak_447,chr3L,682359,682359,+,227.71321,,promoter-TSS (NM_138205),promoter-TSS (NM_138205),-40,NM_001274287,38081,Dm.13583,NM_138205,,CG3386,Dmel\CG3386,CG3386,protein-coding,CG3386,FBgn0035152,1.68118935,0.7494822224454635
33,75,Ty-N_peak_263,chr2R,8082684,8082684,+,227.71321,,promoter-TSS (NM_078934),promoter-TSS (NM_078934),-292,NM_078934,35774,Dm.2016,NM_078934,,sut1,CG8714|Dmel\CG8714|Sut1,sugar transporter 1,protein-coding,CG8714,FBgn0028563,118.333999,6.886720829315657
34,77,Ty-N_peak_851,chr3R,18918119,18918119,+,220.85051,,promoter-TSS (NM_001104363),promoter-TSS (NM_001104363),-141,NM_001104363,42267,Dm.7819,NM_142504,,Xrp1,2515|CG17836|DM28|Dmel\CG17836|XRP1|anon-EST:Liang-2.44|clone 2.44|l(3)02515|xrp1,Xrp1,protein-coding,CG17836,FBgn0261113,2.57861635,1.3665971429895216
36,80,Ty-N_peak_717,chr3R,4390266,4390266,+,217.24202000000002,,promoter-TSS (NM_141205),promoter-TSS (NM_141205),-100,NM_141205,40555,Dm.7582,NM_141205,,CG14646,Dmel\CG14646|anon-WO0118547.373,uncharacterized protein,protein-coding,CG14646,FBgn0037241,10.097430099999999,3.3359162538293363
40,86,Ty-N_peak_819,chr3R,15310003,15310003,+,205.23779,,promoter-TSS (NM_169645),promoter-TSS (NM_169645),-190,NM_079637,41853,Dm.2422,NM_079637,,Tm2,CG4843|DROTROPI1|Dmel\CG4843|IP16005p|Ifm(3)3|Ifm(3)5|Ifm-TmI|TM2|Tm|Tm1|Tm127|TmI|TmII|Tn-H|dro Tm|l(3)nc99Eb|mTmI,Tropomyosin 2,protein-coding,CG4843,FBgn0004117,6.85201027,2.776527313778445
41,88,Ty-N_peak_324,chr2R,14713782,14713782,+,205.23779,,promoter-TSS (NM_166063),promoter-TSS (NM_166063),-160,NM_001299498,36632,Dm.5193,NM_166063,,mspo,CG10145|CT28539|Dmel\CG10145|Mspo|m-spo,M-spondin,protein-coding,CG10145,FBgn0020269,568.644505,9.15138320583227
43,90,Ty-N_peak_18,chr2L,2110587,2110587,+,202.77431,,promoter-TSS (NM_001014459),promoter-TSS (NM_001014459),-709,NM_001272972,3346208,Dm.21771,NM_001014459,,dpr3,CG15379|CG15380|CG15381|CG33516|CRACM2|CT35425|Dmel\CG33516|Dpr-3|Dpr3,defective proboscis extension response 3,protein-coding,CG15379,FBgn0053516,1.69045002,0.7574073620082333
44,94,Ty-N_peak_923,chr3R,28635603,28635603,+,199.12927,,promoter-TSS (NM_143368),promoter-TSS (NM_143368),-504,NM_143367,43387,Dm.1356,NM_143367,,CG10011,Dmel\CG10011,uncharacterized protein,protein-coding,CG10011,FBgn0039590,76.33454329999999,6.254264155485939
45,96,Ty-N_peak_406,chr2R,23395586,23395586,+,197.86743,,promoter-TSS (NM_166603),promoter-TSS (NM_166603),-165,NM_166603,37707,Dm.3027,NM_137947,,CG3530,BcDNA|BcDNA:GH04637|CG18093|Dmel\CG3530,CG3530,protein-coding,CG3530,FBgn0028497,11.591040099999999,3.534938124543709
48,102,Ty-N_peak_895,chr3R,25624741,25624741,+,189.34958,,promoter-TSS (NM_001170260),promoter-TSS (NM_001170260),-79,NM_170231,43091,Dm.4324,NM_143150,,Npl4,CG4673|Dmel\CG4673|NPL4|dNPLOC4|dNp14|dNpl4|npl4,Nuclear protein localization 4,protein-coding,CG4673,FBgn0039348,16.4394233,4.039087784611134
50,107,Ty-N_peak_772,chr3R,9928326,9928326,+,184.5264,,promoter-TSS (NM_001038952),promoter-TSS (NM_001038952),-591,NM_001038952,41217,Dm.4030,NM_001038952,,Glut4EF,BcDNA:GH25505|BcDNA:GM06804|BcDNA:RE66512|BcDNA:RH63124|CG11676|CG12802|CG12804|CG12805|CG32469|CG33975|CG34360|CG43757|D-Glut4EF|Dmel\CG34360|Dmel_CG12802|Dmel_CG33975|stretch,Glucose transporter 4 enhancer factor,protein-coding,CG11676,FBgn0267336,70.5073267,6.139701276434841
51,108,Ty-N_peak_27,chr2L,3265785,3265785,+,184.5264,,promoter-TSS (NR_124042),promoter-TSS (NR_124042),-71,NR_124042,19835718,,NR_124042,,CR45706,Dmel\CR45706,ncRNA,ncRNA,CR45706,FBgn0267270,3.93610232,1.976767724396132
53,110,Ty-N_peak_258,chr2R,7382025,7382025,+,183.4061,,promoter-TSS (NM_001043064),promoter-TSS (NM_001043064),-126,NM_001273835,35652,Dm.2832,NM_078925,,Dscam1,43Bc|CG17800|CT39257|DSCAM|DScam|DmDscam|Dm_2R:13579|Dm_2R:13612|Dmel\CG17800|DsCam|Dscam|Dscam-hv|Dsm|FBgn0033159|Neu1|dScam|dscam|l(2)05518|l(2)43Bc|p270,Down syndrome cell adhesion molecule 1,protein-coding,CG17800,FBgn0033159,561.2298959999999,9.132448051302317
54,112,Ty-N_peak_1153,chrX,11493880,11493880,+,182.12607,,promoter-TSS (NM_206688),promoter-TSS (NM_206688),61,NM_206688,32097,Dm.17507,NM_206688,,Drak,CG11713|CG1760|CG32666|Dmel\CG32666|EP(X)1452|EP1452|drak,Death-associated protein kinase related,protein-coding,CG11713,FBgn0052666,90.9631941,6.507211009092502
55,113,Ty-N_peak_1122,chrX,8367462,8367462,+,182.12607,,promoter-TSS (NM_080340),promoter-TSS (NM_080340),-293,NM_001298086,31767,,NM_080340,,nAChRalpha3,Acr7E|CG2302|D[a3]|Da3|Dalpha3|Dalpha3 nAChR|Dmel\CG2302|alpha3|lincRNA.965|nACRalpha-7E|nAChR|nAcRalpha-7E|nAcRe|nicra3,nicotinic Acetylcholine Receptor alpha3,protein-coding,CG2302,FBgn0015519,304.039933,8.248117011330233
56,118,Ty-N_peak_484,chr3L,4805958,4805958,+,176.15596000000002,,promoter-TSS (NM_139674),promoter-TSS (NM_139674),-684,NM_139674,38579,Dm.4680,NM_139674,,CG7509,CT1509|Dmel\CG7509|tartan/capricious-like,CG7509,protein-coding,CG7509,FBgn0035575,1.26593871,0.34020755885827536
57,122,Ty-N_peak_30,chr2L,3657611,3657611,+,169.22401000000002,,promoter-TSS (NM_205904),promoter-TSS (NM_205904),-658,NM_058139,44817,Dm.6584,NM_058139,,for,142251_at|BcDNA:GM08338|CG10033|DG2|Dg2|Dmel\CG10033|FOR/PKG|For|PKG|Pkg2|Pkg24A|anon-WO0140519.260|anon-WO02059370.47|dg2|l(2)06860,foraging,protein-coding,CG10033,FBgn0000721,24.3856447,4.607960209282789
58,123,Ty-N_peak_736,chr3R,5778994,5778994,+,169.13406,,promoter-TSS (NM_169103),promoter-TSS (NM_169103),-321,NM_141328,40714,Dm.3599,NM_141328,,jagn,CG10978|Dmel\CG10978,jagunal,protein-coding,CG10978,FBgn0037374,81.3453094,6.345987253317922
61,127,Ty-N_peak_633,chr3L,17242538,17242538,+,166.69965,,promoter-TSS (NM_168722),promoter-TSS (NM_168722),-410,NM_168720,39922,Dm.986,NM_168720,,CG6512,AFG3L2|DmCG6512|Dmel\CG6512,CG6512,protein-coding,CG6512,FBgn0036702,6.2451023,2.6427252045784484
63,130,Ty-N_peak_50,chr2L,6037024,6037024,+,165.81548999999998,,promoter-TSS (NM_078765),promoter-TSS (NM_078765),-9,NM_001298722,33845,Dm.319,NM_078765,,mtm,CG9115|Dmel\CG9115|MTM1|dMTMH1,myotubularin,protein-coding,CG9115,FBgn0025742,5.56576846,2.4765808927590176
64,131,Ty-N_peak_562,chr3L,12328971,12328971,+,165.52579,,promoter-TSS (NM_168497),promoter-TSS (NM_168497),-261,NM_168497,39406,Dm.15353,NM_168497,,Lmx1a,CG10432|CG17615|CG32105|Dmel\CG32105|dLmx1a,LIM homeobox transcription factor 1 alpha,protein-coding,CG10432,FBgn0052105,10.594980300000001,3.4053090000944977
66,143,Ty-N_peak_883,chr3R,24514681,24514681,+,158.67525,,promoter-TSS (NM_143006),promoter-TSS (NM_143006),425,NM_079759,42920,Dm.4978,NM_079759,,nAChRbeta2,Acr96Ac|AcrF|CG6798|Dbeta2|Dmel\CG6798|SBD|beta2|beta[[2]]|nACR beta 96A|nACRbeta|nAChR|nAChR-beta96A|nAcRbeta|nAcRbeta-96A|nAcRs|nAcr96Ac|sbd,nicotinic Acetylcholine Receptor beta2,protein-coding,CG6798,FBgn0004118,1.46996573,0.5557825212280552
67,146,Ty-N_peak_374,chr2R,20697991,20697991,+,153.8076,,promoter-TSS (NM_206186),promoter-TSS (NM_206186),-492,NM_001299716,2768858,Dm.12096,NM_206186,,dpr1,CG13439|DPR1|Dmel\CG13439|Dpr-1|Dpr1|dpr,defective proboscis extension response 1,protein-coding,CG13439,FBgn0040726,478.205054,8.901485567298558
68,148,Ty-N_peak_155,chr2L,16326212,16326212,+,152.75252,,promoter-TSS (NM_001273567),promoter-TSS (NM_001273567),-5,NM_001273567,34969,Dm.2150,NM_057594,,cact,5848|BG:DS02740.15|CACT|CG5848|Cact|Cactus|Dmel\CG5848|Ikappa|NFkappabeta1A|cac|dip6|fs(2)ltoRN48|n(2)k17003,cactus,protein-coding,CG5848,FBgn0000250,7.95286239,2.991474207895753
71,154,Ty-N_peak_242,chr2R,5782913,5782913,+,149.31229,,promoter-TSS (NM_165448),promoter-TSS (NM_165448),-55,NM_136341,35513,Dm.2173,NM_136341,,ZnT41F,BEST:CK02137|CG11163|CK02137|Dmel\CG11163|cg11163|dZNT41F|dZnT41F,Zinc transporter 41F,protein-coding,CG11163,FBgn0025693,48.9485369,5.61319383237393
73,158,Ty-N_peak_1068,chrX,2444260,2444260,+,148.16971999999998,,promoter-TSS (NM_080311),promoter-TSS (NM_080311),-284,NM_080311,31228,Dm.1694,NM_080311,,tko,CG7925|Dmel\CG7925|EG:BACH59J11.1|MRP-S12|MRPS12|S12|Tko|l(1)3Ab|l(1)tko|mRpS12|mt-rps12|rps12,technical knockout,protein-coding,CG7925,FBgn0003714,4.50278929,2.1708189677120395
77,165,Ty-N_peak_298,chr2R,12039048,12039048,+,142.49112,,promoter-TSS (NM_078982),promoter-TSS (NM_078982),7,NM_078982,36289,,NM_078982,,RpIII128,CG8344|DmRP128|Dmel\CG8344|RP128,RNA polymerase III 128kD subunit,protein-coding,CG8344,FBgn0004463,7.85928144,2.9743974154944093
79,168,Ty-N_peak_585,chr3L,14551567,14551567,+,140.43079,,promoter-TSS (NM_168589),promoter-TSS (NM_168589),-592,NM_168589,39588,Dm.5438,NM_140451,,Gbs-70E,CG9238|Dmel\CG9238|anon-WO0118547.400,Glycogen binding subunit 70E,protein-coding,CG9238,FBgn0036428,692.395504,9.435452546515725
80,170,Ty-N_peak_852,chr3R,19096286,19096286,+,139.32306,,promoter-TSS (NM_142524),promoter-TSS (NM_142524),-675,NM_142524,42292,,NM_142524,,CG6040,Dmel\CG6040,CG6040,protein-coding,CG6040,FBgn0038679,123.50537299999999,6.9484299962149505
82,173,Ty-N_peak_896,chr3R,25627073,25627073,+,139.11023,,promoter-TSS (NM_001014667),promoter-TSS (NM_001014667),-149,NM_001014666,43092,Dm.1335,NM_143151,,Ssadh,CG4685|DmSSADH|Dmel\CG4685|SSADH|anon-WO0118547.428|ssadh,Succinic semialdehyde dehydrogenase,protein-coding,CG4685,FBgn0039349,4.47105788,2.16061622238435
84,178,Ty-N_peak_65,chr2L,8327122,8327122,+,136.86772,,promoter-TSS (NM_135367),promoter-TSS (NM_135367),-334,NM_135367,34144,Dm.5818,NM_135367,,CG14275,BcDNA:RE73208|CT33900|Dmel\CG14275,uncharacterized protein,protein-coding,CG14275,FBgn0032022,1.45211618,0.5381568841907995
85,179,Ty-N_peak_495,chr3L,6218722,6218722,+,135.9106,,promoter-TSS (NM_057269),promoter-TSS (NM_057269),-700,NM_057269,38723,Dm.865,NM_057269,,LanA,5]]|CG10236|CT28769|Dmel\CG10236|FBgn0002526|FBtr0077014|LM-A/alpha1|Lam|Lam-A|LamA|Lan|alpha3/5|alpha[[3|hdln|lamA|laminin alpha3/5|lanA,Laminin A,protein-coding,CG10236,FBgn0002526,24.3776574,4.607487590009405
86,180,Ty-N_peak_17,chr2L,1705118,1705118,+,135.74992,,promoter-TSS (NM_001272948),promoter-TSS (NM_001272948),-13,NM_001272948,33346,Dm.4772,NM_057657,,cpb,CAPB_DROME|CG17158|CP|CP-beta|CPB|Cap2|CapZ|CapZbeta|Cpb|Dmel\CG17158|J|bnd|cpbeta,capping protein beta,protein-coding,CG17158,FBgn0011570,3.8825682,1.9570112667729431
87,182,Ty-N_peak_1105,chrX,6351923,6351923,+,135.74992,,promoter-TSS (NM_132091),promoter-TSS (NM_132091),-359,NM_132091,31579,Dm.8,NM_132091,,kdn,BEST:GM01832|CG 3861|CG3861|CS|Csyn|Dmel\CG3861|l (1) G0030|l(1)G0030|l(1)G0033|l(1)G0159,knockdown,protein-coding,CG3861,FBgn0261955,1.24214409,0.31283253738363437
88,187,Ty-N_peak_31,chr2L,3662574,3662574,+,133.52136000000002,,promoter-TSS (NM_001103605),promoter-TSS (NM_001103605),-171,NM_001298663,5740176,Dm.12203,NM_001103605,,Drgx,CG10017|CG2808|CG34340|Dmel\CG34340|Dmel_CG10017|Dmel_CG2808,Dorsal root ganglia homeobox,protein-coding,CG10017,FBgn0085369,3.34739388,1.7430383195601897
89,188,Ty-N_peak_362,chr2R,19178585,19178585,+,132.67441000000002,,promoter-TSS (NM_166335),promoter-TSS (NM_166335),-153,NM_001299677,37203,,NM_137555,,hppy,CG7097|CG7097/hppy|Dmel\CG7097|EP-704|GLK/KHS1|Hppy|MAP4K3|anon-WO0153538.68|l(2)SH1261|l(2)SH2 1261,happyhour,protein-coding,CG7097,FBgn0263395,77.3288901,6.272935601110885
90,191,Ty-N_peak_213,chr2L,20835763,20835763,+,131.30128,,promoter-TSS (NM_136220),promoter-TSS (NM_136220),77,NM_136220,35349,,NM_136220,,Oseg5,CG9333|CHE-2|Che-2|Dmel\CG9333|IFT80|OSEG|OSEG5|oseg5,Outer segment 5,protein-coding,CG9333,FBgn0032891,2.67297338,1.418445469929206
93,198,Ty-N_peak_314,chr2R,13942339,13942339,+,128.21657,,promoter-TSS (NM_001169677),promoter-TSS (NM_001169677),-229,NM_001144187,36542,Dm.7941,NM_079009,,shot,42/4|CG18076|CG18637|Dmel\CG18076|Grv|Shot|Su(Mir)1|grv|kak|kop|l(2)CA4|l(2)k03010|l(2)k04204|l(2)k05434|l(2)k05821|l(2)k10821|l(2)k15606|shortstop/kakapo,short stop,protein-coding,CG18076,FBgn0013733,30.7575598,4.942869144218119
94,199,Ty-N_peak_798,chr3R,12222127,12222127,+,128.15108999999998,,promoter-TSS (NM_141907),promoter-TSS (NM_141907),-260,NM_141907,41481,Dm.20177,NM_141907,,CG10014,Dmel\CG10014,uncharacterized protein,protein-coding,CG10014,FBgn0038000,2.11417166,1.080092520985668
95,201,Ty-N_peak_527,chr3L,8523541,8523541,+,127.2458,,promoter-TSS (NM_168277),promoter-TSS (NM_168277),-40,NM_139979,38974,Dm.3631,NM_139979,,GstO2,CG6673|CG6673-A|CG6673-B|CG6673A|CG6673B|DmGSTO1|DmGSTO2a|DmGSTO2b|Dmel\CG6673|GSTO2|GSTO2a|GSTO2b|anon-EST:Posey29|gsto2,Glutathione S transferase O2,protein-coding,CG6673,FBgn0035906,9.5721618,3.2588447832204115
96,202,Ty-N_peak_1052,chrX,946129,946129,+,126.88971000000001,,promoter-TSS (NM_130518),promoter-TSS (NM_130518),-356,NM_130518,31045,Dm.49,NM_130518,,CG3703,BACR7A4.15|Dmel\CG3703|EG:BACR7A4.15,CG3703,protein-coding,CG3703,FBgn0040348,23.1719044,4.534304712915363
97,203,Ty-N_peak_1186,chrX,16089323,16089323,+,126.88971000000001,,promoter-TSS (NM_206760),promoter-TSS (NM_206760),44,NM_206760,32574,Dm.11284,NM_132876,,Tob,CG9214|Dmel\CG9214,Tob,protein-coding,CG9214,FBgn0028397,153.029808,7.257668886256322
99,207,Ty-N_peak_728,chr3R,5150812,5150812,+,125.79258,,promoter-TSS (NM_001300240),promoter-TSS (NM_001300240),-96,NM_001300240,40619,,NM_001043212,,dpr16,CG12591|CT34444|Dmel\CG12591|Dpr-16|Dpr16|mdcds_51595,defective proboscis extension response 16,protein-coding,CG12591,FBgn0037295,327.8934,8.35708305252095
100,208,Ty-N_peak_448,chr3L,699201,699201,+,125.79258,,promoter-TSS (NM_138210),promoter-TSS (NM_138210),-57,NM_138210,38086,Dm.13584,NM_138210,,CG13894,Dmel\CG13894|dmCG13894,uncharacterized protein,protein-coding,CG13894,FBgn0035157,47.993014,5.584752513199076
101,209,Ty-N_peak_715,chr3R,4251548,4251548,+,125.04758999999999,,promoter-TSS (NM_141187),promoter-TSS (NM_141187),-207,NM_001300226,40535,Dm.5458,NM_141187,,TwdlG,CG14643|Dmel\CG14643,TweedleG,protein-coding,CG14643,FBgn0037225,1.07717898,0.10725798257045308
104,219,Ty-N_peak_1091,chrX,3945045,3945045,+,120.93548,,promoter-TSS (NM_166998).2,promoter-TSS (NM_166998).2,2,NM_166998,318207,,NM_166998,,CG32783,Dmel\CG32783,uncharacterized protein,protein-coding,CG32783,FBgn0052783,2.254644,1.172899655218947
105,222,Ty-N_peak_404,chr2R,23366881,23366881,+,119.26236999999999,,promoter-TSS (NM_137942),promoter-TSS (NM_137942),15,NM_137942,37701,,NM_137942,,Ice1,CG13550|Dmel\CG13550|ICE1|dICE1,Interacts with the C terminus of ELL 1,protein-coding,CG13550,FBgn0034853,11.06855,3.468394333734456
107,227,Ty-N_peak_288,chr2R,11144285,11144285,+,118.039,,promoter-TSS (NM_136793),promoter-TSS (NM_136793),-614,NM_136793,36168,Dm.33758,NM_136793,,CG13229,Dm CG13229|Dmel\CG13229|anon-WO0170980.142|anon-WO0170980.143,uncharacterized protein,protein-coding,CG13229,FBgn0033579,35.6600399,5.1562364120819
108,228,Ty-N_peak_721,chr3R,4599902,4599902,+,117.93198000000001,,promoter-TSS (NR_125066),promoter-TSS (NR_125066),-153,NR_125066,19835543,,NR_125065,,CR44317,Dmel\CR44317|lincRNA.671,ncRNA,ncRNA,CR44317,FBgn0265376,3.6810052000000004,1.880099787757539
109,231,Ty-N_peak_79,chr2L,9616749,9616749,+,117.10548,,promoter-TSS (NM_001169451),promoter-TSS (NM_001169451),-87,NM_001169451,34282,Dm.370,NM_135459,,GlcAT-S,CG3881|DGlcAT-S|DmGlcAT-BSI|Dmel\CG3881|dGlcAT-BSI|dGlcAT-S,GlcAT-S,protein-coding,CG3881,FBgn0032135,2.77504708,1.4725122476812507
111,233,Ty-N_peak_340,chr2R,16179215,16179215,+,116.10991999999999,,promoter-TSS (NM_176190),promoter-TSS (NM_176190),-118,NM_176190,36791,Dm.646,NM_057812,,Lis-1,CG8440|D-Lis1|DLIS-1|DLIS1|DLis-1|DLis1|Dlis-1|Dlis1|DmLIS1|Dmel\CG8440|LIS-1|Lis 1|Lis1|dLis1|l(2)k13209|l(2R)W8|lis-1|lis1|n(2)k11702,Lissencephaly-1,protein-coding,CG8440,FBgn0015754,13.4756157,3.7522792860131156
112,234,Ty-N_peak_544,chr3L,9974552,9974552,+,116.03071000000001,,promoter-TSS (NM_144182),promoter-TSS (NM_144182),-99,NM_001274745,50296,Dm.2139,NM_144182,,dpr6,BcDNA:LD13525|CG14162|Dmel\CG14162|Dpr-6|Dpr6,defective proboscis extension response 6,protein-coding,CG14162,FBgn0040823,52.399578000000005,5.711483287952401
